Timestamp,Participant Number,Thinking aloud has helped me complete the tasks.,Thinking aloud has not impacted my performance in these tasks.,Thinking aloud has improved my performance in these tasks.,Thinking aloud has improved my ability to think critically about my decisions during these tasks.,Thinking aloud has not influenced my thought process while solving these tasks.,Thinking aloud has made me more confident about my decisions during these tasks.,Thinking aloud has distracted me from the tasks.,Reliable,Competent,Knowledgeable,Interactive,Responsive,Capable,Organic,Sociable,Emotional,Compassionate,Happy,Feeling,Awkward,Scary,Strange,Awful,Dangerous,Aggressive,The robot was listening carefully.,The robot’s behavior was natural.,The robot cared about what I was saying.,The robot did not care about what I was saying.,The robot was not listening to me.,The robot understood what I was saying.,I felt a close connection with the robot.,Talking with the robot was similar to talking with a friend.,Talking with the robot was similar to talking with a stranger.,Talking with the robot was comforting.,What was it like to speak with the robot? Describe positive and negative aspects of the robot’s behavior.,"Have you ever used, or are you currently using robots at home or at work/study?","If you have any more comments or observations, please write them down here:",Would you like to get notified via email whenever we run other studies?,condition,order,gender,ta_impact,listening_behavior,closeness,competence,warmth,discomfort
5/5/2022 8:35:09,16.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,8.0,7.0,6.0,3.0,4.0,3.0,2.0,6.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,"The robot responded ""yeah"" in the middle of my sentences, which made me feel like it wasn't listening to me. But I like how it asked me to talk about my favourite day of the week, which was a good way to build rapport. But then it responded ""interesting opinions"" which was a bit weird and out of my expectations. But overall I felt like the robot had a presence, but it didn't disturb me a lot, more of like I know someone was there. ",Yes,,Yes,naive,0.0,Female,2.6,3.0,2.5,6.166666666666667,5.5,2.3333333333333335
5/5/2022 11:04:43,17.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talking to a rubber duck seems to increase the self doubt in me. While speaking there is an inherent critical criterion. This helps find errors in thought process. If used at all times however, it would be exhausting. ",,rubberduck,0.0,Male,4.2,,,,,
5/5/2022 12:34:44,18.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rubberduck,0.0,Female,2.2,,,,,
5/5/2022 15:54:13,19.0,5.0,2.0,2.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rubberduck,0.0,Male,2.8,,,,,
5/5/2022 17:26:33,20.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It was harder to think aloud in the first task ,,rubberduck,0.0,Female,4.2,,,,,
5/5/2022 18:21:17,21.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like to write down my thoughts rather than think outloud because that distracts me from the task and then I can't think properly,Yes,rubberduck,0.0,Female,1.6,,,,,
5/6/2022 8:32:23,22.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felt like bot was not there,Yes,rubberduck,1.0,Male,1.8,,,,,
5/6/2022 10:31:04,23.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Female,1.6,,,,,
5/6/2022 11:36:26,24.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Female,2.4,,,,,
5/6/2022 14:25:10,25.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Male,4.0,,,,,
5/6/2022 15:16:47,26.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Female,3.4,,,,,
5/6/2022 16:38:58,27.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Male,2.0,,,,,
5/6/2022 17:36:10,28.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Male,3.0,,,,,
5/6/2022 18:24:10,29.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,0.0,Male,4.0,,,,,
5/7/2022 9:51:40,30.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,0.0,Male,3.4,,,,,
5/7/2022 11:27:03,31.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,0.0,Female,3.0,,,,,
5/7/2022 12:49:34,32.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,0.0,Female,2.8,,,,,
,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2022 12:31:25,34.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Female,3.2,,,,,
5/9/2022 9:42:45,35.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The duck was looking at the door. So in the end, everytime I looked at it I thought you were coming when the time was up. Also because it was too far away. I felt endorsement from the microphone ",No,rubberduck,1.0,Male,3.4,,,,,
5/9/2022 10:05:34,36.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Male,3.6,,,,,
5/9/2022 11:56:09,37.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,1.0,Female,1.8,,,,,
5/9/2022 13:47:59,38.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,7.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,8.0,2.0,8.0,7.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,The occasional um and ah sounded natural but never really felt natural. I liked the eye movements of the robot and the blinks looked like that of a human beings. The robot didn't help me in concentrating ,No,,Yes,naive,0.0,Male,2.8,1.25,1.6666666666666667,2.5,2.1666666666666665,4.5
5/9/2022 14:37:00,39.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,6.0,6.0,6.0,8.0,9.0,9.0,4.0,8.0,5.0,7.0,6.0,7.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,"+ it felt like teaching or explaining stuff to a stranger. I felt responsible to explain the tasks in a way that the robot can understand
- I couldn't tell or had no time really to check the robot's facial expression that would give me a hint if he really understood what I was trying to explain",No,,Yes,naive,0.0,Female,2.2,4.75,3.8333333333333335,7.333333333333333,6.166666666666667,1.8333333333333333
5/9/2022 15:24:10,40.0,4.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,8.0,8.0,6.0,6.0,8.0,6.0,8.0,7.0,8.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,2.0,4.0,3.0,"I did not ask any questions, so it was more of a description of what I was doing, for which I usually expect some kind of reassurance. The robot did exactly that, by reacting in a neutral manner or positively, which I appreciated. On the other hand, it felt like the intensity of the verbal approval did not match the sensibility of the statements and assumptions I was making, so at some point I felt that the robot does not really process what I am saying - but it was still nice to feel certain approval.",Yes,,Yes,naive,0.0,Male,3.0,3.75,1.8333333333333333,5.166666666666667,7.166666666666667,1.5
5/9/2022 16:41:51,41.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,7.0,6.0,7.0,7.0,6.0,7.0,5.0,6.0,4.0,5.0,7.0,5.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,"Quite interesting to speak and communicate on the positive side,  whereas on negative side it's pre-programmed I think ",No,,Yes,naive,0.0,Male,3.8,2.5,3.0,6.666666666666667,5.333333333333333,2.5
5/9/2022 18:19:23,42.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,7.0,2.0,2.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,I am not afraid of being judged by robots. Positive thing it is very sensitive to my speaking. Negative thing could be he can not smile around.,Yes,,Yes,naive,0.0,Male,3.0,4.0,3.1666666666666665,5.0,5.5,1.1666666666666667
5/10/2022 10:52:08,43.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,"It's fine because it is listening to you, but it is not having a real conversation about what you are saying",Yes,,Yes,naive,0.0,Male,4.0,3.75,3.1666666666666665,6.5,6.666666666666667,1.1666666666666667
5/10/2022 11:40:36,44.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,5.0,4.0,5.0,6.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,"He had badly timed gasps in the middle of my sentences, which was annoying. But he was calm that was comforting",Yes,Cheers,No,naive,1.0,Male,2.6,2.25,2.5,3.1666666666666665,5.0,2.0
5/10/2022 12:13:05,45.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0,7.0,6.0,7.0,5.0,8.0,7.0,6.0,9.0,8.0,7.0,8.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,I felt it was listening to me but he did not reply back just I felt its approval.,No,,Yes,naive,1.0,Male,5.0,4.25,3.1666666666666665,6.666666666666667,7.333333333333333,1.6666666666666667
5/10/2022 13:08:05,46.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,6.0,4.0,3.0,6.0,3.0,3.0,6.0,7.0,2.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,"The robot speaks in a less natural way, so I ignored it somehow and talked to the air. The robot told me when to start and end clearly. So it was helpful.",No,I don't know clearly the difference of how and what for solving a task. For me they are close to each other.,Yes,naive,1.0,Male,3.0,1.25,1.3333333333333333,3.6666666666666665,4.5,3.0
5/11/2022 8:03:49,47.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,5.0,2.0,1.0,2.0,4.0,3.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,"Talking to Alex was fine, but it sometimes interrupted me with its ""uhue"", ""yes"", ""I understand"". Also the eyemovment felt unnatural. It had a pleasant calm voice.",Yes,,No,naive,0.0,Male,3.6,2.25,2.3333333333333335,2.6666666666666665,2.1666666666666665,2.6666666666666665
5/11/2022 9:34:37,49.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,"It was nice to have around, but it didn't make much impact and was very quiet. Maybe I talked to it the wrong way? Maybe I should've looked at it more or asking questions but I knew it couldn't help me ",No,,Yes,naive,0.0,Female,4.2,2.5,2.5,3.8333333333333335,3.1666666666666665,2.5
5/12/2022 15:16:08,50.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,4.0,3.0,5.0,1.0,3.0,7.0,6.0,4.0,7.0,7.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,1.0,"It was odd, something new, but after a while it is like talking to a stranger that wants to know what you are thinking in order to improve or solve a task",No,,Yes,naive,0.0,Male,2.2,2.5,1.8333333333333333,4.0,4.166666666666667,3.8333333333333335
5/13/2022 8:47:53,51.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,"The robot was welcoming and calming, and friendly feels good to talk to it. But it seems not understand me when I asked a question if I need to read the questions aloud, and the robot gives me reactions when I said something, but it feels a little bit different from real people, it feels a bit fake, maybe because it didn't understand my last question ",Yes,,Yes,naive,1.0,Female,3.6,3.75,3.1666666666666665,5.5,3.8333333333333335,1.0
5/13/2022 10:36:52,52.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,rubberduck,1.0,Male,2.0,,,,,
5/13/2022 11:25:09,53.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English is not my first language so I feel like that impacted my experience,  maybe it would have felt more rewarding speaking aloud if I spoke in Swedish,",Yes,rubberduck,1.0,Female,2.6,,,,,
5/13/2022 12:04:01,54.0,4.0,1.0,3.0,4.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It was hard to think aloud before understanding the problem myself first. It helped to read quietly and getting a basic grasp of the task before trying to explain.,Yes,rubberduck,1.0,Male,3.6,,,,,
5/13/2022 13:44:10,55.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,0.0,Male,3.6,,,,,
5/13/2022 16:40:30,56.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,rubberduck,0.0,Male,2.0,,,,,
5/13/2022 17:12:49,57.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,rubberduck,0.0,Male,2.0,,,,,
5/26/2022 14:22:05,61.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,4.0,2.0,3.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,"The robot provided poorly timed feedback and did not feel to closely connected to what was said. It provided conversational support but not naturally. If I came to a strong conclusion, the robot would often do nothing but when I just asked myself a question it would say ""that's right"" or nod. Very awkward ",No,Fun experience!,No,datadriven,0.0,Male,1.0,2.75,2.0,3.0,1.3333333333333333,3.3333333333333335
5/27/2022 10:07:34,62.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,7.0,8.0,6.0,6.0,1.0,8.0,1.0,1.0,8.0,1.0,5.0,6.0,6.0,3.0,3.0,3.0,5.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,5.0,3.0,Speaking to the robo was fun. He looked interested in hearing my thoughts. Blinking of his eyes gave me feeling that he was genuinely listening. One negative aspect would be that he doesn't really understand if I have finished talking or not or it could be said as he interrupted me before I finished talking.,No,,Yes,datadriven,0.0,Female,3.0,3.75,3.1666666666666665,6.166666666666667,3.3333333333333335,4.333333333333333
5/27/2022 10:47:58,63.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,2.0,6.0,3.0,6.0,7.0,7.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,"The nodding was a good touch but it was not related with what I was saying. Felt kind of random. When I directly interacted with it, asking if it is finished, it didn't respond.",No,,Yes,datadriven,0.0,Male,1.0,1.75,2.0,4.333333333333333,3.8333333333333335,1.6666666666666667
5/27/2022 11:22:28,64.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,6.0,3.0,4.0,7.0,5.0,8.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,"It was more like talking to myself, definately helped more in the second task. The robot felt aloof and mildly interested in what was going on.",No,Where was the rubber duck?,Yes,datadriven,0.0,Female,3.6,3.75,3.0,3.5,4.0,4.666666666666667
5/27/2022 14:35:20,65.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,6.0,5.0,7.0,4.0,6.0,5.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,"Positive: the voice and face are nice and calm, the robot feels natural.
Negative: the eyes are looking away, there is no eye contact, even punctual and I felt it made me consider it more like an object than a person. The small replies when I was talking were with some delay or unexpected pace which would not happen with another person and was not helping in the thinking process.",No,,No,datadriven,0.0,Male,2.0,3.25,2.5,4.333333333333333,6.0,1.3333333333333333
5/28/2022 10:22:36,66.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,8.0,8.0,8.0,7.0,7.0,6.0,2.0,5.0,5.0,6.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,3.0,"Really interesting. The robot was friendly and seemed to understand what I was saying. Moreover, he gave the right instructions and it was easy to follow him. I liked his eyes. I think there were no negative aspects.",No,,Yes,datadriven,1.0,Female,4.2,4.0,2.6666666666666665,7.333333333333333,4.0,1.6666666666666667
5/28/2022 10:53:15,67.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,7.0,7.0,6.0,4.0,4.0,8.0,3.0,7.0,7.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,"I felt good and comfort with robot. However, talking while solving distracted me.",No,No,Yes,datadriven,1.0,Female,1.0,3.5,3.3333333333333335,6.0,5.333333333333333,2.3333333333333335
5/28/2022 11:34:17,68.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,7.0,2.0,4.0,3.0,4.0,1.0,7.0,6.0,5.0,7.0,6.0,8.0,2.0,7.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,"I didn't  see the robot while I was solving the exercises, I just saw he ""reacted"" when I was frustrated and said something,  but I don't know if it was a coincidence. I was very curious  about  the robot, but I kinda forget  about it  when I was focused on the tasks",No,,Yes,datadriven,1.0,Female,3.6,3.0,2.0,4.333333333333333,5.333333333333333,3.5
5/28/2022 12:19:57,69.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,6.0,2.0,6.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,A little bit awkward as it felt like talking to myself but I was supposed to feel like I was talking to a robot and that made me feel a little bit uncomfortable. I also think that it feels that way because I don't feel like the robot is going to understand you and rather they analyse you so it's not an horizontal interaction.,No,,Yes,datadriven,1.0,Female,3.4,2.75,1.6666666666666667,3.5,2.3333333333333335,2.8333333333333335
5/28/2022 13:10:24,70.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,"The robot was emitting noise of agreement at random moments, sometimes when I was speaking so I felt interrupted. The frequency of its reactions did not match my intensity of thinking (finally finding an answer for ex), so the interaction felt very artificial. I don't feel like having an interactive robot was an improvement compared to an inanimate object. But it was not in the uncanny valley so it was pretty nice to interact with ",No,I felt slow thinking in english rather than in my mother tongue ,Yes,datadriven,1.0,Female,3.8,1.25,2.1666666666666665,2.0,1.8333333333333333,2.1666666666666665
